
Serial	Event	&quot;Code Level 0&quot;	&quot;Level 0&quot;	&quot;Code Level 1&quot;	&quot;Level 1&quot;	&quot;Code Level 2&quot;	&quot;Level 2&quot;	&quot;Location&quot;	Date (YMD)	Comments	Cause	Description of Cause	Source	Magnitude	GLIDEnumber	Other sectors	DataCards	Deaths	Injured	Missing	Houses Destroyed	Houses Damaged	Directly affected	Indirectly Affected	Relocated	Evacuated	Losses $USD	Losses $Local	Education centers	Hospitals	Damages in crops Ha.	Lost Cattle	Damages in roads Mts	Duration (d)	With Deaths	With Injured	With Missing	With Houses Destroyed	With Houses Affected	With Victims	With Affected	With Relocated	With Evacuated	Education	Health sector	Agriculture	Water supply	Sewerage	Industries	Communications	Transportation	Power and Energy	Relief	With other sectors	fichas.latitude	fichas.longitude	Formula	Deaths female	Deaths male	Deaths children	Deaths adults	Deaths elder	Deaths disabled	Deaths poor	Missing female	Missing male	Missing children	Missing adults	Missing elder	Missing disabled	Missing poor	Injured female	Injured male	Injured children	Injured adults	Injured elder	Injured disabled	Injured poor	Living damaged dwellings	Living damaged dwellings female	Living damaged dwellings male	Living damaged dwellings children	Living damaged dwellings adults	Living damaged dwellings elder	Living damaged dwellings disabled	Living damaged dwellings poor	Living destroyed dwellings	Living destroyed dwellings female	Living destroyed dwellings male	Living destroyed dwellings children	Living destroyed dwellings adults	Living destroyed dwellings elder	Living destroyed dwellings disabled	Living destroyed dwellings poor	Livelihood affected	Livelihoods female	Livelihoods male	Livelihoods children	Livelihoods adults	Livelihoods elder	Livelihoods disabled	Livelihoods poor	Ha damaged	Ha destroyed	Loss from crops	Livestock total	Livestock damaged	Loss from livestock total	Ha forest total	Ha forest damaged	Ha forest destroyed	Loss from forest total	Ha aquaculture total	Ha aquaculture damaged	Ha aquaculture destroyed	Loss from aquaculture total	Vessels total	Vessels damaged	Vessels destroyed	Loss from vessels total	Stock facilities affected	Stock facilities damaged	Stock facilities destroyed	Stock loss affected	Agricultural assets affected	Agricultural assets damaged	Agricultural assets destroyed	Agricultural assets loss affected	Productive assets affected	Productive assets damaged	Productive assets destroyed	Productive assets loss affected	Houses total	Loss from dwellings	Loss from dwellings damaged	Loss from  dwellingsdestroyed	Health facilities damaged	Health facilities destroyed	Loss from health facilities	Education damaged	Education destroyed	Loss from education	Number infrastructures	Number damaged infrastructures	Number destroyed infrastructures	Loss from infrastructures	Loss from cultural fixed	Loss from cultural mobile damaged	Loss from cultural mobile destroyed	Cultural fixed damaged	Cultural fixed destroyed	Cultural mobile damaged	Cultural mobile destroyed	Damaged: Roads	Loss: Roads	Destroyed: Roads	Disruptions to Public Administration Service	Total: Roads	Disruptions to Solid Waste Service	Loss: Cattle	Total: Cattle	Damaged: Cattle	Destroyed: Cattle	
"D 01"	ACCIDENT	IND005	Uttarakhand	IND005006	Garhwal	IND005006003	Pauri	Near Police choky gukti, satpuli	1984/1/7		Other	Winter 	Amar Ujala/ 08 Jan/ 1984				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D 02"	FIRE	IND005	Uttarakhand	IND005007	Pithoragarh			Gandoli Gram 	1984/2/10		Other	Fire	Amar Ujala/ 11Feb 1984				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5828604	80.21818840000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	
"D 03"	Road Accident	IND005	Uttarakhand	IND005011	Nainital	IND005011007	Haldwani	Near Jawahar Petrol Pump	1984/2/12		Other	Truck Accident	Amar Ujala/ 13Feb 1984				1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D 04"	Road Accident	IND005	Uttarakhand	IND005004	Tehri Garhwal	IND005004001	Pratapnagar	Bhagirathi nadi	1984/2/26		Other	Truck Accident	Amar Ujala/ 27feb 1984				1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.5142506	78.49295289999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	
"D 05"	Road Accident	IND005	Uttarakhand	IND005011	Nainital	IND005011007	Haldwani	Near Kichha	1984/3/1		Other		Amar Ujala/ 01 March 1984				1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.9087212	79.50975489999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	
"D 06"	Road Accident	IND005	Uttarakhand	IND005011	Nainital	IND005011007	Haldwani	Near Lamachaud	1984/3/13		Other		Amar Ujala/ 13 March 1984				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D 07"	ACCIDENT	IND005	Uttarakhand	IND005009	Almora			Near Nainital Bank Branch	1984/3/23		Other	Fire	Amar Ujala/ 23 March 1984			Loss of Lakh of Rupee	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D 08"	HAILSTORM	IND005	Uttarakhand	IND005010	Champawat	IND005010003	Lohaghat	Champawat Tahseel	1984/3/28		Other	Strong wind and Hail Storm	Amar Ujala/ 29 March 1984			Many Houses Damaged 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D 09"	FIRE	IND005	Uttarakhand	IND005011	Nainital	IND005011007	Haldwani	Near Lamchaud School	1984/3/31		Other		Amar Ujala/ 31 March 1984			03 huts loss	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
"D10"	Road Accident	IND005	Uttarakhand	IND005011	Nainital	IND005011007	Haldwani	Near Barrelly road 	1984/3/31		Other		Amar Ujala / 1April/ 1984				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0			0	0	0	0	0	0	0	0	0				0				0				0				0		0	0	0			0			0				0	0	0	0					0	0	0		0		0	0	0	0	
