State_Code,District_Code,District,Households,Total_Population,Male_Population,Female_Population,Child_0_6,Literates,Illiterates,Workers,Non_Workers
5,56,Uttarkashi,67602,330086,168597,161489,46307,215126,114960,157276,172810
5,56,Uttarkashi,61914,305781,155375,150406,43663,195909,109872,149067,156714
5,56,Uttarkashi,5688,24305,13222,11083,2644,19217,5088,8209,16096
5,57,Chamoli,88964,391605,193991,197614,52161,280556,111049,180940,210665
5,57,Chamoli,74318,332209,160369,171840,45217,232303,99906,157909,174300
5,57,Chamoli,14646,59396,33622,25774,6944,48253,11143,23031,36365
5,58,Rudraprayag,53542,242285,114589,127696,32046,170933,71352,113032,129253
5,58,Rudraprayag,50882,232360,108740,123620,30995,162944,69416,108539,123821
5,58,Rudraprayag,2660,9925,5849,4076,1051,7989,1936,4493,5432
5,59,Tehri Garhwal,132714,618931,297986,320945,84657,407994,210937,280442,338489
5,59,Tehri Garhwal,115691,548792,259381,289411,76718,352776,196016,257529,291263
5,59,Tehri Garhwal,17023,70139,38605,31534,7939,55218,14921,22913,47226
5,60,Dehradun,347001,1696694,892199,804495,201652,1259506,437188,582768,1113926
5,60,Dehradun,144112,754753,392891,361862,99957,517836,236917,265341,489412
5,60,Dehradun,202889,941941,499308,442633,101695,741670,200271,317427,624514
5,61,Garhwal,161778,687271,326829,360442,83901,494889,192382,274152,413119
5,61,Garhwal,136180,574568,268029,306539,71170,404558,170010,240786,333782
5,61,Garhwal,25598,112703,58800,53903,12731,90331,22372,33366,79337
5,62,Pithoragarh,114730,483439,239306,244133,63293,345550,137889,216490,266949
5,62,Pithoragarh,96971,413834,202930,210904,54900,289256,124578,196459,217375
5,62,Pithoragarh,17759,69605,36376,33229,8393,56294,13311,20031,49574
5,63,Bageshwar,58046,259898,124326,135572,35560,179483,80415,123638,136260
5,63,Bageshwar,55992,250819,119615,131204,34545,172166,78653,120867,129952
5,63,Bageshwar,2054,9079,4711,4368,1015,7317,1762,2771,6308
5,64,Almora,140577,622506,291081,331425,80082,436497,186009,298211,324295
5,64,Almora,125209,560192,257359,302833,74375,383089,177103,276913,283279
5,64,Almora,15368,62314,33722,28592,5707,53408,8906,21298,41016
5,65,Champawat,53953,259648,131125,128523,37028,177726,81922,99566,160082
5,65,Champawat,45741,221305,110842,110463,32342,149910,71395,88092,133213
5,65,Champawat,8212,38343,20283,18060,4686,27816,10527,11474,26869
5,66,Nainital,191383,954605,493666,460939,124272,696500,258105,376181,578424
5,66,Nainital,114954,582871,299257,283614,79212,417970,164901,258651,324220
5,66,Nainital,76429,371734,194409,177325,45060,278530,93204,117530,254204
5,67,Udham Singh Nagar,308581,1648902,858783,790119,229162,1037839,611063,591458,1057444
5,67,Udham Singh Nagar,198645,1062142,550470,511672,149886,652717,409425,406129,656013
5,67,Udham Singh Nagar,109936,586760,308313,278447,79276,385122,201638,185329,401431
5,68,Hardwar,338104,1890422,1005295,885127,285693,1178354,712068,578121,1312301
5,68,Hardwar,204477,1197328,633784,563544,197796,682616,514712,359251,838077
5,68,Hardwar,133627,693094,371511,321583,87897,495738,197356,218870,474224
