Rainfall_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Daily_Rainfall_mm,Max_Hourly_Rainfall_mm,Rainfall_Readings
1,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2007-01-02,1.0,0.5,2
2,Kempty,Uttarakhand,55,Tehri Garhwal,30.49075,78.04738889,2007-01-03,6.5,6.0,2
3,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-01-31,2.0,2.0,1
4,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-06-21,0.5,0.5,1
5,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-06-23,70.5,13.0,6
6,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-06-24,26.0,13.0,2
7,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-06-29,1.5,0.5,3
8,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-06-30,3.0,2.0,3
9,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-01,8.0,4.0,2
10,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-03,0.5,0.5,1
11,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-05,26.0,13.0,2
12,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-06,68.0,14.5,5
13,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-06,5.0,1.0,5
14,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-07,11.5,9.5,2
15,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-07,3.0,1.0,3
16,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-09,15.5,4.0,4
17,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-09,1.0,0.5,2
18,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-10,1.0,0.5,2
19,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-10,4.0,2.5,4
20,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-11,6.0,1.5,5
21,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-11,10.5,1.5,7
22,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-11,1.0,0.5,2
23,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-12,1.0,0.5,2
24,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-13,19.0,5.0,5
25,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-14,8.5,4.5,2
26,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-14,70.5,24.0,5
27,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-15,13.0,5.0,3
28,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-15,15.0,7.5,2
29,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-16,7.5,1.5,7
30,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-17,1.5,0.5,3
31,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-17,23.0,6.0,4
32,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-18,5.0,2.5,2
33,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-18,84.0,83.0,3
34,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-19,20.0,15.5,4
35,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-19,9.0,8.5,2
36,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-20,4.5,4.5,1
37,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-20,11.0,2.5,5
38,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-20,63.5,23.5,4
39,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-20,35.5,10.0,4
40,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-21,1.5,0.5,3
41,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-21,8.5,2.5,5
42,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-21,47.0,23.5,2
43,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-21,23.5,10.0,9
44,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-23,39.0,10.5,4
45,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-23,1.5,1.5,1
46,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-24,37.0,9.5,4
47,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-24,91.5,17.5,6
48,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-25,4.5,4.5,1
49,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-25,64.0,64.0,1
50,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-25,18.5,7.5,3
51,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-26,16.5,4.0,5
52,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-26,25.5,8.0,7
53,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-26,40.5,6.5,10
54,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-27,11.0,2.5,5
55,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-27,54.5,15.5,4
56,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-27,3.0,2.0,3
57,Kosi_1,Uttarakhand,45,Almora,29.6191,79.62060833,2022-07-28,4.5,4.5,1
58,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-28,16.0,16.0,1
59,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-28,40.5,25.0,2
60,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-28,30.0,8.0,7
61,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-29,13.0,4.5,6
62,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-29,129.5,26.0,5
63,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-29,8.5,2.5,4
64,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-29,47.5,8.5,11
65,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-30,68.5,31.0,5
66,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-30,90.5,42.5,4
67,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-30,19.5,5.0,4
68,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-30,20.0,15.0,4
69,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-07-31,13.5,3.0,5
70,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-07-31,139.0,42.5,7
71,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-07-31,17.0,5.5,4
72,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-07-31,22.5,5.0,7
73,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-01,7.5,3.0,6
74,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-01,111.5,33.5,6
75,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-08-01,7.5,4.0,2
76,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-01,10.0,5.0,2
77,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-02,0.5,0.5,1
78,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-02,35.5,33.5,2
79,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-08-02,8.0,4.0,2
80,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-03,20.0,7.0,10
81,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-03,111.5,59.0,6
82,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-03,49.5,9.5,6
83,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-04,17.5,8.5,5
84,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-04,91.5,24.5,6
85,Dakpathar,Uttarakhand,49,Dehradun,30.49866667,77.79744444,2022-08-04,24.5,11.0,3
86,Roorkee_2,Uttarakhand,50,Haridwar,29.86771944,77.88415556,2022-08-04,30.0,30.0,1
87,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-04,89.0,34.5,7
88,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-05,11.0,2.0,7
89,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-05,105.5,27.5,5
90,Dakpathar,Uttarakhand,49,Dehradun,30.49866667,77.79744444,2022-08-05,33.0,11.0,3
91,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-05,39.5,12.0,4
92,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-06,16.5,8.5,4
93,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-06,14.5,3.0,9
94,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-06,18.0,7.0,9
95,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-07,20.0,18.0,2
96,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-07,1.0,0.5,2
97,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-07,78.0,29.0,10
98,Dakpathar,Uttarakhand,49,Dehradun,30.49866667,77.79744444,2022-08-08,1.0,1.0,1
99,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-08,3.5,1.5,4
100,Dakpathar,Uttarakhand,49,Dehradun,30.49866667,77.79744444,2022-08-09,4.5,1.5,3
101,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-09,8.5,7.0,2
102,Gairsain (Ramganga),Uttarakhand,47,Chamoli,30.045,79.2855,2022-08-10,73.0,29.5,3
103,Tanakpur_1,Uttarakhand,48,Champawat,29.07222222,80.1175,2022-08-10,6.0,6.0,1
104,Dakpathar,Uttarakhand,49,Dehradun,30.49866667,77.79744444,2022-08-10,47.5,25.0,3
105,Joshiyara,Uttarakhand,57,Uttarkashi,30.73122222,78.42733333,2022-08-10,2.5,2.5,1
