River_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Mean_Discharge_m3_sec,Max_Discharge_m3_sec,Min_Discharge_m3_sec,Readings
1,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-01,48.156236559139785,55.27,40.21,93
92,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-01,209.0841052631579,485.29,135.98,95
184,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-01-01,6.701489361702128,7.19,6.15,94
263,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-01,6.5109375,9.22,4.25,96
361,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-01-01,6.669479166666666,8.64,6.12,96
2,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-02,21.66084210526316,24.68,16.93,95
93,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-02,214.9097894736842,669.57,135.96,95
185,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-01-02,6.143510638297872,6.83,5.41,94
264,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-02,11.196451612903225,15.31,9.47,93
362,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-01-02,14.316562500000002,15.04,13.78,96
3,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-03,18.345052631578948,22.52,15.02,95
94,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-03,297.3205263157895,708.58,149.08,95
186,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-01-03,5.513333333333334,6.17,4.2,84
265,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-03,8.09561797752809,13.49,4.89,89
363,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-01-03,9.108235294117648,10.54,8.46,85
4,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-04,20.697021276595745,25.49,17.02,94
95,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-04,220.4675789473684,509.4,157.16,95
266,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-04,8.058518518518518,12.95,4.8,81
364,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-01-04,11.528229166666668,12.77,10.82,96
5,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-05,24.144,28.49,18.27,95
96,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-05,229.77333333333334,509.36,140.97,96
267,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-05,7.394022988505747,12.02,4.69,87
365,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-01-05,14.041145833333333,18.24,9.29,96
6,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-01-06,52.43305263157895,83.37,29.25,95
97,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-01-06,112.38273684210527,154.11,7.58,95
187,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-01-06,10.018105263157896,10.65,9.45,95
268,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-01-06,9.13967741935484,13.6,6.38,93
